optimizer,loss,top1,seconds,state_mb,device,lr,target_scale,momentum,thermostat_lr
fanosv2,0.3678133189678192,0.46666666865348816,0.4739399579993915,0.5528106689453125,cpu,0.001,0.05,0.85,0.003
fanosv2,0.9007481336593628,0.36666667461395264,0.4915379580052104,0.5528106689453125,cpu,0.001,0.05,0.9,0.003
fanosv2,0.10765466094017029,0.36666667461395264,0.5209612500038929,0.5528106689453125,cpu,0.001,0.1,0.85,0.003
fanosv2,0.13492892682552338,0.5666666626930237,0.47430941701168194,0.5528106689453125,cpu,0.001,0.1,0.9,0.003
fanosv2,0.09632337838411331,0.5333333611488342,0.4969784580025589,0.5528106689453125,cpu,0.001,0.2,0.85,0.003
fanosv2,0.6685952544212341,0.5,0.47711416700622067,0.5528106689453125,cpu,0.001,0.2,0.9,0.003
fanosv2,1.4960548877716064,0.5,0.4784597909892909,0.5528106689453125,cpu,0.002,0.05,0.85,0.003
fanosv2,2.5273244380950928,0.46666666865348816,0.4712897499994142,0.5528106689453125,cpu,0.002,0.05,0.9,0.003
fanosv2,0.7321656942367554,0.46666666865348816,0.486509374997695,0.5528106689453125,cpu,0.002,0.1,0.85,0.003
fanosv2,0.9679872989654541,0.46666666865348816,0.48527124999964144,0.5528106689453125,cpu,0.002,0.1,0.9,0.003
fanosv2,0.9164507389068604,0.46666666865348816,0.49982991599244997,0.5528106689453125,cpu,0.002,0.2,0.85,0.003
fanosv2,0.632450520992279,0.46666666865348816,0.4901292499998817,0.5528106689453125,cpu,0.002,0.2,0.9,0.003
fanosv2,1.0525327920913696,0.46666666865348816,0.46649258300021756,0.5528106689453125,cpu,0.003,0.05,0.85,0.003
fanosv2,6.425153732299805,0.5333333611488342,0.5034040419996018,0.5528106689453125,cpu,0.003,0.05,0.9,0.003
fanosv2,1.944626808166504,0.4000000059604645,0.5358752500033006,0.5528106689453125,cpu,0.003,0.1,0.85,0.003
fanosv2,2.120828866958618,0.5333333611488342,0.5132465829956345,0.5528106689453125,cpu,0.003,0.1,0.9,0.003
fanosv2,1.8983074426651,0.46666666865348816,0.5089031659881584,0.5528106689453125,cpu,0.003,0.2,0.85,0.003
fanosv2,0.7250548005104065,0.5333333611488342,0.5104019159916788,0.5528106689453125,cpu,0.003,0.2,0.9,0.003
