optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.546340823173523,0.9007762738853503,62.35315645800438,0.8077239990234375,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
sgd,0.7793797254562378,0.8334992038216561,61.58029820800584,0.40384674072265625,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
rmsprop,0.5963035821914673,0.8817675159235668,65.6764347920107,0.8077239990234375,0.0,cpu,fashionmnist,vision,0,baseline,,,,,
fanosv2,0.3800853490829468,0.910031847133758,69.9648917500017,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.3703645169734955,0.9086385350318471,70.05626587499864,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.2631324231624603,0.9017714968152867,70.63487041699409,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.2934659421443939,0.9013734076433121,70.7488588749984,0.8076934814453125,0.0,cpu,fashionmnist,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.10804374516010284,0.899781050955414,65.3958499589935,0.8077239990234375,0.0,cpu,fashionmnist,vision,1,baseline,,,,,
sgd,0.3756098449230194,0.8213574840764332,63.271663499996066,0.40384674072265625,0.0,cpu,fashionmnist,vision,1,baseline,,,,,
rmsprop,0.07641591131687164,0.8846536624203821,65.33567220800614,0.8077239990234375,0.0,cpu,fashionmnist,vision,1,baseline,,,,,
fanosv2,0.06914546340703964,0.9053542993630573,83.27255037499708,0.8076934814453125,0.0,cpu,fashionmnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.08570539206266403,0.9068471337579618,72.38478570799634,0.8076934814453125,0.0,cpu,fashionmnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.07196219265460968,0.8979896496815286,69.61632054200163,0.8076934814453125,0.0,cpu,fashionmnist,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.16805700957775116,0.8984872611464968,69.83502758300165,0.8076934814453125,0.0,cpu,fashionmnist,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.28288280963897705,0.9021695859872612,65.69756937499915,0.8077239990234375,0.0,cpu,fashionmnist,vision,2,baseline,,,,,
sgd,0.48865193128585815,0.8382762738853503,63.76594075000321,0.40384674072265625,0.0,cpu,fashionmnist,vision,2,baseline,,,,,
rmsprop,0.2451622486114502,0.888734076433121,66.85282649999135,0.8077239990234375,0.0,cpu,fashionmnist,vision,2,baseline,,,,,
fanosv2,0.2076576203107834,0.9105294585987261,72.92821920799906,0.8076934814453125,0.0,cpu,fashionmnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.1299988180398941,0.9142117834394905,73.46559891599463,0.8076934814453125,0.0,cpu,fashionmnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.14408764243125916,0.9025676751592356,72.91802858300798,0.8076934814453125,0.0,cpu,fashionmnist,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.156619593501091,0.9066480891719745,71.92546141700586,0.8076934814453125,0.0,cpu,fashionmnist,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.2037622034549713,0.8963972929936306,65.38025999999081,0.8077239990234375,0.0,cpu,fashionmnist,vision,3,baseline,,,,,
sgd,0.5620589852333069,0.8214570063694268,65.05658887499885,0.40384674072265625,0.0,cpu,fashionmnist,vision,3,baseline,,,,,
rmsprop,0.37702280282974243,0.8831608280254777,66.33090466700378,0.8077239990234375,0.0,cpu,fashionmnist,vision,3,baseline,,,,,
fanosv2,0.1970483958721161,0.9066480891719745,71.96666637499584,0.8076934814453125,0.0,cpu,fashionmnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.18760204315185547,0.9054538216560509,72.4603228749911,0.8076934814453125,0.0,cpu,fashionmnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.1091850996017456,0.9004777070063694,72.00567208399298,0.8076934814453125,0.0,cpu,fashionmnist,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.3802330791950226,0.8981886942675159,71.88840725000773,0.8076934814453125,0.0,cpu,fashionmnist,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.16128070652484894,0.8912221337579618,66.0935909999971,0.8077239990234375,0.0,cpu,fashionmnist,vision,4,baseline,,,,,
sgd,0.24670346081256866,0.8400676751592356,64.86162950001017,0.40384674072265625,0.0,cpu,fashionmnist,vision,4,baseline,,,,,
