optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.0010201481636613607,0.9885549363057324,16.562373207998462,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
sgd,0.015123797580599785,0.9692476114649682,13.552202666993253,0.40384674072265625,0.0,mps,mnist,vision,0,baseline,,,,,
rmsprop,0.00031882530311122537,0.9830812101910829,15.866179750009906,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
fanosv2,0.0007983677787706256,0.9897492038216561,38.46018870797707,0.8076934814453125,0.0,mps,mnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.9602022803155705e-05,0.9906449044585988,37.35428845899878,0.8076934814453125,0.0,mps,mnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0002825055562425405,0.9884554140127388,17.721483417000854,0.8076934814453125,0.0,mps,mnist,vision,0,auto_fast_sync,0.001,0.1,0.85,0.003,auto
adamw,0.0005358991329558194,0.988953025477707,15.60231395799201,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
sgd,0.05029713362455368,0.9647691082802548,13.654732083989074,0.40384674072265625,0.0,mps,mnist,vision,1,baseline,,,,,
rmsprop,0.0017671074019744992,0.9846735668789809,15.218957917008083,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
fanosv2,3.2372434361604974e-05,0.9905453821656051,38.44832041699556,0.8076934814453125,0.0,mps,mnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,7.4466338446654845e-06,0.9891520700636943,37.25222845800454,0.8076934814453125,0.0,mps,mnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.00016814659466035664,0.9841759554140127,17.48636979100411,0.8076934814453125,0.0,mps,mnist,vision,1,auto_fast_sync,0.001,0.1,0.85,0.003,auto
adamw,0.00918565783649683,0.9876592356687898,15.09552720899228,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
sgd,0.04563857987523079,0.9664609872611465,13.696366749994922,0.40384674072265625,0.0,mps,mnist,vision,2,baseline,,,,,
rmsprop,0.08352378010749817,0.982484076433121,15.682080458005657,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
fanosv2,0.0005577568663284183,0.9895501592356688,39.32631554099498,0.8076934814453125,0.0,mps,mnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0005772887961938977,0.9907444267515924,37.43964329198934,0.8076934814453125,0.0,mps,mnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0013578340876847506,0.988156847133758,16.502429790998576,0.8076934814453125,0.0,mps,mnist,vision,2,auto_fast_sync,0.001,0.1,0.85,0.003,auto
adamw,0.0011926799779757857,0.9858678343949044,15.24972591700498,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
sgd,0.0690312534570694,0.9644705414012739,13.49211579200346,0.40384674072265625,0.0,mps,mnist,vision,3,baseline,,,,,
rmsprop,0.005189983174204826,0.9755175159235668,14.868836207984714,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
fanosv2,0.09416893869638443,0.9855692675159236,38.54253483301727,0.8076934814453125,0.0,mps,mnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,8.103210711851716e-05,0.9877587579617835,37.55788858400774,0.8076934814453125,0.0,mps,mnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,3.914948320016265e-05,0.9855692675159236,16.929767583002103,0.8076934814453125,0.0,mps,mnist,vision,3,auto_fast_sync,0.001,0.1,0.85,0.003,auto
adamw,0.007695512846112251,0.9845740445859873,16.25169500001357,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
sgd,0.04891509190201759,0.9694466560509554,13.575353042018833,0.40384674072265625,0.0,mps,mnist,vision,4,baseline,,,,,
rmsprop,0.001727108028717339,0.9826831210191083,14.79014999998617,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
fanosv2,0.0007535240147262812,0.9896496815286624,38.519022958003916,0.8076934814453125,0.0,mps,mnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.005619751289486885,0.9892515923566879,37.10920887498651,0.8076934814453125,0.0,mps,mnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.01808200590312481,0.9894506369426752,17.20318679200136,0.8076934814453125,0.0,mps,mnist,vision,4,auto_fast_sync,0.001,0.1,0.85,0.003,auto
