optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.0010201481636613607,0.9885549363057324,15.914953708997928,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
sgd,0.015123797580599785,0.9692476114649682,13.56099174998235,0.40384674072265625,0.0,mps,mnist,vision,0,baseline,,,,,
rmsprop,0.00031882530311122537,0.9830812101910829,15.561722999991616,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
fanosv2,0.0007983677787706256,0.9897492038216561,38.69070354101132,0.8076934814453125,0.0,mps,mnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0002825055562425405,0.9884554140127388,19.88240566701279,0.8076934814453125,0.0,mps,mnist,vision,0,auto_fast_sync,0.001,0.1,0.85,0.003,auto
fanosv2,1.9602022803155705e-05,0.9906449044585988,35.794701542006806,0.8076934814453125,0.0,mps,mnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
adamw,0.0005358991329558194,0.988953025477707,15.70089087501401,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
sgd,0.05029713362455368,0.9647691082802548,13.46013520800625,0.40384674072265625,0.0,mps,mnist,vision,1,baseline,,,,,
rmsprop,0.0017671074019744992,0.9846735668789809,16.031387541996082,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
fanosv2,3.2372434361604974e-05,0.9905453821656051,34.83034495799802,0.8076934814453125,0.0,mps,mnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.00016814659466035664,0.9841759554140127,17.552921791997505,0.8076934814453125,0.0,mps,mnist,vision,1,auto_fast_sync,0.001,0.1,0.85,0.003,auto
fanosv2,7.4466338446654845e-06,0.9891520700636943,35.9715147500101,0.8076934814453125,0.0,mps,mnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
adamw,0.00918565783649683,0.9876592356687898,15.65890020801453,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
sgd,0.04563857987523079,0.9664609872611465,13.763674582995009,0.40384674072265625,0.0,mps,mnist,vision,2,baseline,,,,,
rmsprop,0.08352378010749817,0.982484076433121,15.212496624997584,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
fanosv2,0.0005577568663284183,0.9895501592356688,38.940962916007265,0.8076934814453125,0.0,mps,mnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0013578340876847506,0.988156847133758,17.495336791995214,0.8076934814453125,0.0,mps,mnist,vision,2,auto_fast_sync,0.001,0.1,0.85,0.003,auto
fanosv2,0.0005772887961938977,0.9907444267515924,36.655443875002675,0.8076934814453125,0.0,mps,mnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
adamw,0.0011926799779757857,0.9858678343949044,15.104575249977643,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
sgd,0.0690312534570694,0.9644705414012739,14.28414508298738,0.40384674072265625,0.0,mps,mnist,vision,3,baseline,,,,,
rmsprop,0.005189983174204826,0.9755175159235668,15.798142833984457,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
fanosv2,0.09416893869638443,0.9855692675159236,38.22456712499843,0.8076934814453125,0.0,mps,mnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,3.914948320016265e-05,0.9855692675159236,18.71607170900097,0.8076934814453125,0.0,mps,mnist,vision,3,auto_fast_sync,0.001,0.1,0.85,0.003,auto
fanosv2,8.103210711851716e-05,0.9877587579617835,35.885768000007374,0.8076934814453125,0.0,mps,mnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
adamw,0.007695512846112251,0.9845740445859873,16.556312915985473,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
sgd,0.04891509190201759,0.9694466560509554,13.890304542001104,0.40384674072265625,0.0,mps,mnist,vision,4,baseline,,,,,
rmsprop,0.001727108028717339,0.9826831210191083,15.39933541600476,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
fanosv2,0.0007535240147262812,0.9896496815286624,38.19193133301451,0.8076934814453125,0.0,mps,mnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.01808200590312481,0.9894506369426752,16.9654626249976,0.8076934814453125,0.0,mps,mnist,vision,4,auto_fast_sync,0.001,0.1,0.85,0.003,auto
fanosv2,0.005619751289486885,0.9892515923566879,37.8906155419827,0.8076934814453125,0.0,mps,mnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
