optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,1.1726452112197876,0.6430135350318471,18.211344832991017,1.0442962646484375,0.0,mps,cifar10,vision,0,baseline,,,,,
sgd,1.548346757888794,0.45551353503184716,15.38363208300143,0.5221328735351562,0.0,mps,cifar10,vision,0,baseline,,,,,
rmsprop,1.4299938678741455,0.5370222929936306,17.640499000001,1.0442962646484375,0.0,mps,cifar10,vision,0,baseline,,,,,
fanosv2,1.2326207160949707,0.6717754777070064,32.10995225000079,1.0442657470703125,0.0,mps,cifar10,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.0463180541992188,0.6522691082802548,33.685180499989656,1.0442657470703125,0.0,mps,cifar10,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.9754970073699951,0.6228105095541401,32.01859424999566,1.0442657470703125,0.0,mps,cifar10,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.1511640548706055,0.6442078025477707,31.987800333008636,1.0442657470703125,0.0,mps,cifar10,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.7056911587715149,0.6407245222929936,17.738650334009435,1.0442962646484375,0.0,mps,cifar10,vision,1,baseline,,,,,
sgd,1.246449589729309,0.46865047770700635,15.199437125003897,0.5221328735351562,0.0,mps,cifar10,vision,1,baseline,,,,,
rmsprop,1.5653576850891113,0.4719347133757962,17.51119579198712,1.0442962646484375,0.0,mps,cifar10,vision,1,baseline,,,,,
fanosv2,0.6764521598815918,0.6552547770700637,32.03011258300103,1.0442657470703125,0.0,mps,cifar10,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.8803964257240295,0.6613256369426752,64.04755045899947,1.0442657470703125,0.0,mps,cifar10,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.5599840879440308,0.6050955414012739,32.515580459003104,1.0442657470703125,0.0,mps,cifar10,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.7133368253707886,0.6327627388535032,32.648314416990615,1.0442657470703125,0.0,mps,cifar10,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,1.1004551649093628,0.633359872611465,19.507583917002194,1.0442962646484375,0.0,mps,cifar10,vision,2,baseline,,,,,
sgd,1.531543493270874,0.4427746815286624,17.798556584006292,0.5221328735351562,0.0,mps,cifar10,vision,2,baseline,,,,,
rmsprop,1.4901936054229736,0.4547173566878981,19.37539979099529,1.0442962646484375,0.0,mps,cifar10,vision,2,baseline,,,,,
fanosv2,1.1696736812591553,0.6556528662420382,54.58726329098863,1.0442657470703125,0.0,mps,cifar10,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.0007727146148682,0.6603304140127388,33.501383499999065,1.0442657470703125,0.0,mps,cifar10,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.0900239944458008,0.6225119426751592,31.926106207989505,1.0442657470703125,0.0,mps,cifar10,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.0344613790512085,0.6355493630573248,32.561751750006806,1.0442657470703125,0.0,mps,cifar10,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.668621838092804,0.6518710191082803,46.927113500001724,1.0442962646484375,0.0,mps,cifar10,vision,3,baseline,,,,,
sgd,1.5241224765777588,0.4446656050955414,18.261860500002513,0.5221328735351562,0.0,mps,cifar10,vision,3,baseline,,,,,
rmsprop,1.4703667163848877,0.4716361464968153,20.02200895799615,1.0442962646484375,0.0,mps,cifar10,vision,3,baseline,,,,,
fanosv2,0.6549962162971497,0.6391321656050956,34.34579845900589,1.0442657470703125,0.0,mps,cifar10,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.8287426829338074,0.6592356687898089,35.884757124993484,1.0442657470703125,0.0,mps,cifar10,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.654365062713623,0.6518710191082803,41.50799637498858,1.0442657470703125,0.0,mps,cifar10,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.9286963939666748,0.6270899681528662,52.840201208004146,1.0442657470703125,0.0,mps,cifar10,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,1.2618324756622314,0.6499800955414012,17.803338083002018,1.0442962646484375,0.0,mps,cifar10,vision,4,baseline,,,,,
sgd,1.9183887243270874,0.444765127388535,15.325903874996584,0.5221328735351562,0.0,mps,cifar10,vision,4,baseline,,,,,
rmsprop,2.026604652404785,0.4898487261146497,58.9721265410044,1.0442962646484375,0.0,mps,cifar10,vision,4,baseline,,,,,
fanosv2,1.1847286224365234,0.6629179936305732,37.387779917000444,1.0442657470703125,0.0,mps,cifar10,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.196925163269043,0.6688893312101911,38.266505875013536,1.0442657470703125,0.0,mps,cifar10,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.116347312927246,0.6282842356687898,36.83028975001071,1.0442657470703125,0.0,mps,cifar10,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.2604420185089111,0.6089769108280255,36.648229500002344,1.0442657470703125,0.0,mps,cifar10,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
