optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.506356418132782,0.9030652866242038,14.939727791992482,0.8077239990234375,0.0,mps,fashionmnist,vision,0,baseline,,,,,
sgd,0.793857216835022,0.8338972929936306,13.073486749999574,0.40384674072265625,0.0,mps,fashionmnist,vision,0,baseline,,,,,
rmsprop,0.5362995266914368,0.8820660828025477,14.644330583003466,0.8077239990234375,0.0,mps,fashionmnist,vision,0,baseline,,,,,
fanosv2,0.24824756383895874,0.911922770700637,37.61428629200964,0.8076934814453125,0.0,mps,fashionmnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.37028267979621887,0.9098328025477707,39.18317712499993,0.8076934814453125,0.0,mps,fashionmnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.5820889472961426,0.9006767515923567,37.37402983299398,0.8076934814453125,0.0,mps,fashionmnist,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.38597363233566284,0.9048566878980892,38.08335141600401,0.8076934814453125,0.0,mps,fashionmnist,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.10178152471780777,0.900577229299363,16.408956415994908,0.8077239990234375,0.0,mps,fashionmnist,vision,1,baseline,,,,,
sgd,0.3810914158821106,0.8206608280254777,12.669221749994904,0.40384674072265625,0.0,mps,fashionmnist,vision,1,baseline,,,,,
rmsprop,0.2808793783187866,0.8898288216560509,14.599478458985686,0.8077239990234375,0.0,mps,fashionmnist,vision,1,baseline,,,,,
fanosv2,0.04616203159093857,0.8995820063694268,37.56437508300587,0.8076934814453125,0.0,mps,fashionmnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.08219517022371292,0.9038614649681529,37.93195562501205,0.8076934814453125,0.0,mps,fashionmnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.23356901109218597,0.8914211783439491,36.8446136660059,0.8076934814453125,0.0,mps,fashionmnist,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.11034908145666122,0.8991839171974523,37.16107008399558,0.8076934814453125,0.0,mps,fashionmnist,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.27633577585220337,0.9028662420382165,14.865996375010582,0.8077239990234375,0.0,mps,fashionmnist,vision,2,baseline,,,,,
sgd,0.5031639933586121,0.839968152866242,13.476680916995974,0.40384674072265625,0.0,mps,fashionmnist,vision,2,baseline,,,,,
rmsprop,0.16036978363990784,0.894406847133758,14.57848916700459,0.8077239990234375,0.0,mps,fashionmnist,vision,2,baseline,,,,,
fanosv2,0.11562514305114746,0.9030652866242038,37.75248762499541,0.8076934814453125,0.0,mps,fashionmnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.17470331490039825,0.911922770700637,36.89433708299475,0.8076934814453125,0.0,mps,fashionmnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.11491939425468445,0.9044585987261147,35.46191404199635,0.8076934814453125,0.0,mps,fashionmnist,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.19694116711616516,0.9054538216560509,35.4198013330024,0.8076934814453125,0.0,mps,fashionmnist,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.18051980435848236,0.8971934713375797,17.062763458001427,0.8077239990234375,0.0,mps,fashionmnist,vision,3,baseline,,,,,
sgd,0.560163676738739,0.8225517515923567,15.10091612499673,0.40384674072265625,0.0,mps,fashionmnist,vision,3,baseline,,,,,
rmsprop,0.34698939323425293,0.8905254777070064,17.24519883398898,0.8077239990234375,0.0,mps,fashionmnist,vision,3,baseline,,,,,
fanosv2,0.12431781738996506,0.904359076433121,35.663127709005494,0.8076934814453125,0.0,mps,fashionmnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.09736112505197525,0.9074442675159236,36.78647633299988,0.8076934814453125,0.0,mps,fashionmnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.2536488175392151,0.8990843949044586,35.538899292005226,0.8076934814453125,0.0,mps,fashionmnist,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.23847025632858276,0.9004777070063694,35.61744216599618,0.8076934814453125,0.0,mps,fashionmnist,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.17502176761627197,0.8911226114649682,16.288205374992685,0.8077239990234375,0.0,mps,fashionmnist,vision,4,baseline,,,,,
sgd,0.24242940545082092,0.8395700636942676,14.054398624997702,0.40384674072265625,0.0,mps,fashionmnist,vision,4,baseline,,,,,
rmsprop,0.12500812113285065,0.8921178343949044,17.251623332995223,0.8077239990234375,0.0,mps,fashionmnist,vision,4,baseline,,,,,
fanosv2,0.061243608593940735,0.9088375796178344,35.57728691698867,0.8076934814453125,0.0,mps,fashionmnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.11148273944854736,0.9087380573248408,36.84322754200548,0.8076934814453125,0.0,mps,fashionmnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.031578533351421356,0.8999800955414012,35.59152537499904,0.8076934814453125,0.0,mps,fashionmnist,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.09218868613243103,0.9041600318471338,35.503799874990364,0.8076934814453125,0.0,mps,fashionmnist,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
