optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.0010201481636613607,0.9885549363057324,17.783305584001937,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
sgd,0.015123797580599785,0.9692476114649682,13.718114709001384,0.40384674072265625,0.0,mps,mnist,vision,0,baseline,,,,,
rmsprop,0.00031882530311122537,0.9830812101910829,15.012466416999814,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
fanosv2,1.9602022803155705e-05,0.9906449044585988,37.80896404100349,0.8076934814453125,0.0,mps,mnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0007983677787706256,0.9897492038216561,38.07874462500331,0.8076934814453125,0.0,mps,mnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,5.5813539802329615e-05,0.9887539808917197,36.691408750004484,0.8076934814453125,0.0,mps,mnist,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.003113379469141364,0.9897492038216561,37.208553666991065,0.8076934814453125,0.0,mps,mnist,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.0005358991329558194,0.988953025477707,15.26626612500695,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
sgd,0.05029713362455368,0.9647691082802548,13.771998416996212,0.40384674072265625,0.0,mps,mnist,vision,1,baseline,,,,,
rmsprop,0.0017671074019744992,0.9846735668789809,17.887516667004093,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
fanosv2,7.4466338446654845e-06,0.9891520700636943,38.90561937500024,0.8076934814453125,0.0,mps,mnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,3.2372434361604974e-05,0.9905453821656051,39.53566291599418,0.8076934814453125,0.0,mps,mnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.743149732646998e-05,0.9895501592356688,38.83788641699357,0.8076934814453125,0.0,mps,mnist,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,2.498188587196637e-05,0.988156847133758,38.15112987499742,0.8076934814453125,0.0,mps,mnist,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.00918565783649683,0.9876592356687898,15.4267044159933,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
sgd,0.04563857987523079,0.9664609872611465,13.940759167002398,0.40384674072265625,0.0,mps,mnist,vision,2,baseline,,,,,
rmsprop,0.08352378010749817,0.982484076433121,15.76392220899288,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
fanosv2,0.0005772887961938977,0.9907444267515924,37.59799266599293,0.8076934814453125,0.0,mps,mnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0005577568663284183,0.9895501592356688,39.064652875007596,0.8076934814453125,0.0,mps,mnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.00011963205906795338,0.9880573248407644,37.24480579099327,0.8076934814453125,0.0,mps,mnist,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.0006888188072480261,0.9903463375796179,37.33767708300729,0.8076934814453125,0.0,mps,mnist,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.0011926799779757857,0.9858678343949044,16.16834829200525,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
sgd,0.0690312534570694,0.9644705414012739,13.630722542002331,0.40384674072265625,0.0,mps,mnist,vision,3,baseline,,,,,
rmsprop,0.005189983174204826,0.9755175159235668,14.962159749993589,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
fanosv2,8.103210711851716e-05,0.9877587579617835,38.13745004199154,0.8076934814453125,0.0,mps,mnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.09416893869638443,0.9855692675159236,38.829673291009385,0.8076934814453125,0.0,mps,mnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,8.042369154281914e-05,0.9849721337579618,36.81509633400128,0.8076934814453125,0.0,mps,mnist,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.012688216753304005,0.9887539808917197,36.591687667008955,0.8076934814453125,0.0,mps,mnist,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.007695512846112251,0.9845740445859873,14.892096458992455,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
sgd,0.04891509190201759,0.9694466560509554,13.427154457996949,0.40384674072265625,0.0,mps,mnist,vision,4,baseline,,,,,
rmsprop,0.001727108028717339,0.9826831210191083,15.46157441700052,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
fanosv2,0.005619751289486885,0.9892515923566879,37.18076708300214,0.8076934814453125,0.0,mps,mnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0007535240147262812,0.9896496815286624,38.93748983400292,0.8076934814453125,0.0,mps,mnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.004857078660279512,0.9880573248407644,37.290907582995715,0.8076934814453125,0.0,mps,mnist,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.00014544605801347643,0.9890525477707006,37.599676624988206,0.8076934814453125,0.0,mps,mnist,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
