task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,30.719642639160156,5.600940227508545,2.680313707998721,0.000762939453125,ok
rosenbrock100,adamw,0,1447.04296875,9.392080307006836,0.6551618750090711,0.000766754150390625,ok
rosenbrock100,sgd,0,nan,nan,0.5551613749994431,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,0,0.008167855441570282,0.0036952728405594826,0.6762840000010328,0.000766754150390625,ok
rosenbrock100,fanosv2,1,45.47015380859375,6.780247688293457,2.53712862500106,0.000762939453125,ok
rosenbrock100,adamw,1,1553.6239013671875,10.333817481994629,0.6518146250018617,0.000766754150390625,ok
rosenbrock100,sgd,1,43.1535758972168,6.610225200653076,0.5391076670057373,0.0003814697265625,ok
rosenbrock100,rmsprop,1,0.04982960224151611,0.354571133852005,0.6674320839956636,0.000766754150390625,ok
rosenbrock100,fanosv2,2,47.02983856201172,6.895089626312256,2.4523616660007974,0.000762939453125,ok
rosenbrock100,adamw,2,1875.744873046875,10.275527000427246,0.6516739590006182,0.000766754150390625,ok
rosenbrock100,sgd,2,nan,nan,0.5426172919978853,0.0003814697265625,nonfinite
rosenbrock100,rmsprop,2,7.914173126220703,2.9523353576660156,0.6785827090061503,0.000766754150390625,ok
rosenbrock100,fanosv2,3,46.021484375,6.819368362426758,2.4612637090031058,0.000762939453125,ok
rosenbrock100,adamw,3,1606.13037109375,9.643301010131836,0.649501624997356,0.000766754150390625,ok
rosenbrock100,sgd,3,43.415809631347656,6.629827499389648,0.5345989589986857,0.0003814697265625,ok
rosenbrock100,rmsprop,3,0.08561103045940399,0.47674795985221863,0.6484780419996241,0.000766754150390625,ok
rosenbrock100,fanosv2,4,2.9179434776306152,1.960961937904358,2.4331399579969,0.000762939453125,ok
rosenbrock100,adamw,4,1520.8115234375,7.974685192108154,0.6521652909868862,0.000766754150390625,ok
rosenbrock100,sgd,4,42.05583190917969,6.527530670166016,0.5436436669988325,0.0003814697265625,ok
