optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,1.1726452112197876,0.6430135350318471,17.51736937498208,1.0442962646484375,0.0,mps,cifar10,vision,0,baseline,,,,,
sgd,1.548346757888794,0.45551353503184716,16.074308999988716,0.5221328735351562,0.0,mps,cifar10,vision,0,baseline,,,,,
rmsprop,1.4299938678741455,0.5370222929936306,17.074508000019705,1.0442962646484375,0.0,mps,cifar10,vision,0,baseline,,,,,
fanosv2,1.2326207160949707,0.6717754777070064,32.17900112498319,1.0442657470703125,0.0,mps,cifar10,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.0463180541992188,0.6522691082802548,35.32203737497912,1.0442657470703125,0.0,mps,cifar10,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.9754970073699951,0.6228105095541401,32.24768512501032,1.0442657470703125,0.0,mps,cifar10,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.1511640548706055,0.6442078025477707,33.287768500013044,1.0442657470703125,0.0,mps,cifar10,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.7056911587715149,0.6407245222929936,16.59501354099484,1.0442962646484375,0.0,mps,cifar10,vision,1,baseline,,,,,
sgd,1.246449589729309,0.46865047770700635,15.337268791015958,0.5221328735351562,0.0,mps,cifar10,vision,1,baseline,,,,,
rmsprop,1.5653576850891113,0.4719347133757962,16.423030165984528,1.0442962646484375,0.0,mps,cifar10,vision,1,baseline,,,,,
fanosv2,0.6764521598815918,0.6552547770700637,27.613578874996165,1.0442657470703125,0.0,mps,cifar10,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.8803964257240295,0.6613256369426752,29.904995291028172,1.0442657470703125,0.0,mps,cifar10,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.5599840879440308,0.6050955414012739,27.08025495801121,1.0442657470703125,0.0,mps,cifar10,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.7133368253707886,0.6327627388535032,26.79683137498796,1.0442657470703125,0.0,mps,cifar10,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,1.1004551649093628,0.633359872611465,16.64626216699253,1.0442962646484375,0.0,mps,cifar10,vision,2,baseline,,,,,
sgd,1.531543493270874,0.4427746815286624,15.24395658299909,0.5221328735351562,0.0,mps,cifar10,vision,2,baseline,,,,,
rmsprop,1.4901936054229736,0.4547173566878981,16.21356195799308,1.0442962646484375,0.0,mps,cifar10,vision,2,baseline,,,,,
fanosv2,1.1696736812591553,0.6556528662420382,29.367789541982347,1.0442657470703125,0.0,mps,cifar10,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.0007727146148682,0.6603304140127388,31.57680891698692,1.0442657470703125,0.0,mps,cifar10,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.0900239944458008,0.6225119426751592,28.35165350002353,1.0442657470703125,0.0,mps,cifar10,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.0344613790512085,0.6355493630573248,32.119970915984595,1.0442657470703125,0.0,mps,cifar10,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.668621838092804,0.6518710191082803,16.729143458011094,1.0442962646484375,0.0,mps,cifar10,vision,3,baseline,,,,,
sgd,1.5241224765777588,0.4446656050955414,15.238866749976296,0.5221328735351562,0.0,mps,cifar10,vision,3,baseline,,,,,
rmsprop,1.4703667163848877,0.4716361464968153,16.337475541018648,1.0442962646484375,0.0,mps,cifar10,vision,3,baseline,,,,,
fanosv2,0.6549962162971497,0.6391321656050956,32.01414320900221,1.0442657470703125,0.0,mps,cifar10,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.8287426829338074,0.6592356687898089,32.9779225839884,1.0442657470703125,0.0,mps,cifar10,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.654365062713623,0.6518710191082803,27.468695042014588,1.0442657470703125,0.0,mps,cifar10,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.9286963939666748,0.6270899681528662,26.706939958006842,1.0442657470703125,0.0,mps,cifar10,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,1.2618324756622314,0.6499800955414012,16.586579875001917,1.0442962646484375,0.0,mps,cifar10,vision,4,baseline,,,,,
sgd,1.9183887243270874,0.444765127388535,15.19354087501415,0.5221328735351562,0.0,mps,cifar10,vision,4,baseline,,,,,
rmsprop,2.026604652404785,0.4898487261146497,16.904543834010838,1.0442962646484375,0.0,mps,cifar10,vision,4,baseline,,,,,
fanosv2,1.1847286224365234,0.6629179936305732,29.08028787499643,1.0442657470703125,0.0,mps,cifar10,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,1.196925163269043,0.6688893312101911,36.02590333300759,1.0442657470703125,0.0,mps,cifar10,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.116347312927246,0.6282842356687898,27.646490625018487,1.0442657470703125,0.0,mps,cifar10,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,1.2604420185089111,0.6089769108280255,31.942894499981776,1.0442657470703125,0.0,mps,cifar10,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
