optimizer,loss,top1,seconds,state_mb,device,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.017368897795677185,0.46666666865348816,0.48344137499225326,0.5528411865234375,mps,eeg,0,baseline,,,,,
sgd,0.5036713480949402,0.30000001192092896,0.30551479099085554,0.27640533447265625,mps,eeg,0,baseline,,,,,
rmsprop,0.003527904860675335,0.4000000059604645,0.35373154198168777,0.5528411865234375,mps,eeg,0,baseline,,,,,
fanosv2,0.002028556540608406,0.4000000059604645,0.9131415830051992,0.5528106689453125,mps,eeg,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.049138858914375305,0.46666666865348816,0.9671049579919782,0.5528106689453125,mps,eeg,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.005739449057728052,0.36666667461395264,0.8551479160087183,0.5528106689453125,mps,eeg,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.0011328095570206642,0.5,0.8518801250029355,0.5528106689453125,mps,eeg,0,eeg_sweep_best,0.001,0.1,0.9,0.003,default
adamw,0.007979360409080982,0.5,0.45365208300063387,0.5528411865234375,mps,eeg,1,baseline,,,,,
sgd,0.4254054129123688,0.30000001192092896,0.3035174160031602,0.27640533447265625,mps,eeg,1,baseline,,,,,
rmsprop,0.0012508772779256105,0.3333333432674408,0.3552092080062721,0.5528411865234375,mps,eeg,1,baseline,,,,,
fanosv2,0.0027720904909074306,0.5,0.8578385419968981,0.5528106689453125,mps,eeg,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.1863146722316742,0.5333333611488342,0.9076449590211269,0.5528106689453125,mps,eeg,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0012781654950231314,0.4333333373069763,0.8565799579955637,0.5528106689453125,mps,eeg,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.005858750082552433,0.4000000059604645,0.8490956659952644,0.5528106689453125,mps,eeg,1,eeg_sweep_best,0.001,0.1,0.9,0.003,default
adamw,0.012055632658302784,0.4000000059604645,0.41686549998121336,0.5528411865234375,mps,eeg,2,baseline,,,,,
sgd,0.45646345615386963,0.4000000059604645,0.3099494159978349,0.27640533447265625,mps,eeg,2,baseline,,,,,
rmsprop,0.01406768523156643,0.36666667461395264,0.36305008400813676,0.5528411865234375,mps,eeg,2,baseline,,,,,
fanosv2,0.0007300461875274777,0.4000000059604645,0.8610646660090424,0.5528106689453125,mps,eeg,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.017453785985708237,0.4333333373069763,0.9083368749998044,0.5528106689453125,mps,eeg,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0016515629831701517,0.4333333373069763,0.8513542080181651,0.5528106689453125,mps,eeg,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.038245800882577896,0.4333333373069763,0.8443282500084024,0.5528106689453125,mps,eeg,2,eeg_sweep_best,0.001,0.1,0.9,0.003,default
adamw,0.014530680142343044,0.46666666865348816,0.4178856250073295,0.5528411865234375,mps,eeg,3,baseline,,,,,
sgd,0.48561573028564453,0.3333333432674408,0.30418712500249967,0.27640533447265625,mps,eeg,3,baseline,,,,,
rmsprop,0.024133706465363503,0.5,0.36137958301696926,0.5528411865234375,mps,eeg,3,baseline,,,,,
fanosv2,0.0013826499925926328,0.4333333373069763,0.8491013750026468,0.5528106689453125,mps,eeg,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.057393088936805725,0.4000000059604645,0.902857374981977,0.5528106689453125,mps,eeg,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.0017442249227315187,0.46666666865348816,0.8522081249975599,0.5528106689453125,mps,eeg,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.004196672700345516,0.36666667461395264,0.8444069999968633,0.5528106689453125,mps,eeg,3,eeg_sweep_best,0.001,0.1,0.9,0.003,default
adamw,0.01964671164751053,0.4000000059604645,0.41378775000339374,0.5528411865234375,mps,eeg,4,baseline,,,,,
sgd,0.4414185583591461,0.3333333432674408,0.3080739160068333,0.27640533447265625,mps,eeg,4,baseline,,,,,
rmsprop,0.011793283745646477,0.5333333611488342,0.3640054579882417,0.5528411865234375,mps,eeg,4,baseline,,,,,
fanosv2,0.0009163866634480655,0.4000000059604645,0.8375135830137879,0.5528106689453125,mps,eeg,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.2376662939786911,0.4333333373069763,0.8961092079989612,0.5528106689453125,mps,eeg,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,4.551937308860943e-05,0.46666666865348816,0.8525056249927729,0.5528106689453125,mps,eeg,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.0007186084985733032,0.4000000059604645,0.8521985840052366,0.5528106689453125,mps,eeg,4,eeg_sweep_best,0.001,0.1,0.9,0.003,default
