optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.0010201481636613607,0.9885549363057324,17.583648875006475,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
sgd,0.015123797580599785,0.9692476114649682,13.798856542009162,0.40384674072265625,0.0,mps,mnist,vision,0,baseline,,,,,
rmsprop,0.00031882530311122537,0.9830812101910829,16.886835332988994,0.8077239990234375,0.0,mps,mnist,vision,0,baseline,,,,,
fanosv2,1.9602022803155705e-05,0.9906449044585988,36.39732245801133,0.8076934814453125,0.0,mps,mnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0007983677787706256,0.9897492038216561,37.963454041979276,0.8076934814453125,0.0,mps,mnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,5.5813539802329615e-05,0.9887539808917197,29.16896054102108,0.8076934814453125,0.0,mps,mnist,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.003113379469141364,0.9897492038216561,36.91954883400467,0.8076934814453125,0.0,mps,mnist,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.0005358991329558194,0.988953025477707,14.898183749988675,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
sgd,0.05029713362455368,0.9647691082802548,13.07042783300858,0.40384674072265625,0.0,mps,mnist,vision,1,baseline,,,,,
rmsprop,0.0017671074019744992,0.9846735668789809,14.690821166004753,0.8077239990234375,0.0,mps,mnist,vision,1,baseline,,,,,
fanosv2,7.4466338446654845e-06,0.9891520700636943,37.090758458012715,0.8076934814453125,0.0,mps,mnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,3.2372434361604974e-05,0.9905453821656051,38.81679970800178,0.8076934814453125,0.0,mps,mnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,1.743149732646998e-05,0.9895501592356688,37.71465375000844,0.8076934814453125,0.0,mps,mnist,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,2.498188587196637e-05,0.988156847133758,37.24990095800604,0.8076934814453125,0.0,mps,mnist,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.00918565783649683,0.9876592356687898,15.181566915998701,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
sgd,0.04563857987523079,0.9664609872611465,13.154374540987192,0.40384674072265625,0.0,mps,mnist,vision,2,baseline,,,,,
rmsprop,0.08352378010749817,0.982484076433121,14.821822750003776,0.8077239990234375,0.0,mps,mnist,vision,2,baseline,,,,,
fanosv2,0.0005772887961938977,0.9907444267515924,37.17210533298203,0.8076934814453125,0.0,mps,mnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0005577568663284183,0.9895501592356688,38.64708191700629,0.8076934814453125,0.0,mps,mnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.00011963205906795338,0.9880573248407644,34.51791433402104,0.8076934814453125,0.0,mps,mnist,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.0006888188072480261,0.9903463375796179,29.061612541991053,0.8076934814453125,0.0,mps,mnist,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.0011926799779757857,0.9858678343949044,16.200575499999104,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
sgd,0.0690312534570694,0.9644705414012739,14.437815665995004,0.40384674072265625,0.0,mps,mnist,vision,3,baseline,,,,,
rmsprop,0.005189983174204826,0.9755175159235668,16.01412837501266,0.8077239990234375,0.0,mps,mnist,vision,3,baseline,,,,,
fanosv2,8.103210711851716e-05,0.9877587579617835,28.032383166981163,0.8076934814453125,0.0,mps,mnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.09416893869638443,0.9855692675159236,30.4608893749828,0.8076934814453125,0.0,mps,mnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,8.042369154281914e-05,0.9849721337579618,28.88900929200463,0.8076934814453125,0.0,mps,mnist,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.012688216753304005,0.9887539808917197,28.37066991699976,0.8076934814453125,0.0,mps,mnist,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.007695512846112251,0.9845740445859873,16.485070791008184,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
sgd,0.04891509190201759,0.9694466560509554,14.063887790980516,0.40384674072265625,0.0,mps,mnist,vision,4,baseline,,,,,
rmsprop,0.001727108028717339,0.9826831210191083,15.991406957997242,0.8077239990234375,0.0,mps,mnist,vision,4,baseline,,,,,
fanosv2,0.005619751289486885,0.9892515923566879,32.69774895798764,0.8076934814453125,0.0,mps,mnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.0007535240147262812,0.9896496815286624,35.416581666999264,0.8076934814453125,0.0,mps,mnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.004857078660279512,0.9880573248407644,31.371033375005936,0.8076934814453125,0.0,mps,mnist,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.00014544605801347643,0.9890525477707006,29.38115087497863,0.8076934814453125,0.0,mps,mnist,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
