optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,task,seed,config,lr,target_scale,momentum,thermostat_lr
adamw,0.00028566407854668796,0.988953025477707,62.27114212499873,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
sgd,0.015189820900559425,0.9699442675159236,60.73998854101228,0.40384674072265625,0.0,cpu,vision,0,baseline,,,,
rmsprop,0.0011420216178521514,0.9857683121019108,62.62412945799588,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
fanosv2,3.1881842005532235e-05,0.9879578025477707,67.7597322500078,0.8076934814453125,0.0,cpu,vision,0,stable,0.001,0.1,0.85,0.003
fanosv2,0.009909813292324543,0.9888535031847133,67.29181641701143,0.8076934814453125,0.0,cpu,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.014138278551399708,0.9885549363057324,67.82085679200827,0.8076934814453125,0.0,cpu,vision,0,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.0001837288000388071,0.9887539808917197,67.24635587498778,0.8076934814453125,0.0,cpu,vision,0,low_lr,0.0005,0.1,0.85,0.003
adamw,0.0004583089903462678,0.9882563694267515,61.98285754099197,0.8077239990234375,0.0,cpu,vision,1,baseline,,,,
sgd,0.05124931037425995,0.964968152866242,61.18717737500265,0.40384674072265625,0.0,cpu,vision,1,baseline,,,,
rmsprop,0.001681894646026194,0.98546974522293,62.73101362500165,0.8077239990234375,0.0,cpu,vision,1,baseline,,,,
fanosv2,2.12774975807406e-05,0.9883558917197452,67.59734116600885,0.8076934814453125,0.0,cpu,vision,1,stable,0.001,0.1,0.85,0.003
fanosv2,8.068564056884497e-06,0.9896496815286624,67.55892104200029,0.8076934814453125,0.0,cpu,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,7.204561370599549e-06,0.988953025477707,67.58428087500215,0.8076934814453125,0.0,cpu,vision,1,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.0004202341951895505,0.9887539808917197,68.1389537500072,0.8076934814453125,0.0,cpu,vision,1,low_lr,0.0005,0.1,0.85,0.003
adamw,0.011611245572566986,0.988156847133758,62.68894687500142,0.8077239990234375,0.0,cpu,vision,2,baseline,,,,
sgd,0.045142680406570435,0.9665605095541401,61.5664917499962,0.40384674072265625,0.0,cpu,vision,2,baseline,,,,
rmsprop,0.05332261323928833,0.9739251592356688,62.4509127909987,0.8077239990234375,0.0,cpu,vision,2,baseline,,,,
fanosv2,0.0015950369415804744,0.986265923566879,67.65075212498778,0.8076934814453125,0.0,cpu,vision,2,stable,0.001,0.1,0.85,0.003
fanosv2,0.00030283431988209486,0.988953025477707,67.63606770799379,0.8076934814453125,0.0,cpu,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,1.0850912076421082e-05,0.9894506369426752,67.95487699999649,0.8076934814453125,0.0,cpu,vision,2,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.0007125954143702984,0.9909434713375797,67.88022141599504,0.8076934814453125,0.0,cpu,vision,2,low_lr,0.0005,0.1,0.85,0.003
adamw,0.0016987870912998915,0.986265923566879,62.318494042003294,0.8077239990234375,0.0,cpu,vision,3,baseline,,,,
sgd,0.06633131206035614,0.9644705414012739,61.498638917008066,0.40384674072265625,0.0,cpu,vision,3,baseline,,,,
rmsprop,0.00151232467032969,0.9804936305732485,63.09398579200206,0.8077239990234375,0.0,cpu,vision,3,baseline,,,,
fanosv2,6.461388693423942e-05,0.9836783439490446,67.81089745901409,0.8076934814453125,0.0,cpu,vision,3,stable,0.001,0.1,0.85,0.003
fanosv2,0.007652811240404844,0.9880573248407644,68.00946170800307,0.8076934814453125,0.0,cpu,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.002723670331761241,0.9867635350318471,67.56685299999663,0.8076934814453125,0.0,cpu,vision,3,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,8.258577872766182e-05,0.9888535031847133,68.31701845800853,0.8076934814453125,0.0,cpu,vision,3,low_lr,0.0005,0.1,0.85,0.003
adamw,0.010522997938096523,0.9850716560509554,62.88422962499317,0.8077239990234375,0.0,cpu,vision,4,baseline,,,,
sgd,0.04925097897648811,0.9696457006369427,61.64636854099808,0.40384674072265625,0.0,cpu,vision,4,baseline,,,,
rmsprop,0.00046478421427309513,0.9827826433121019,63.47415641701082,0.8077239990234375,0.0,cpu,vision,4,baseline,,,,
fanosv2,0.0650038942694664,0.9873606687898089,68.34441195799445,0.8076934814453125,0.0,cpu,vision,4,stable,0.001,0.1,0.85,0.003
fanosv2,0.001608079532161355,0.9874601910828026,68.33172025000385,0.8076934814453125,0.0,cpu,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.02868708409368992,0.9848726114649682,68.2622541669989,0.8076934814453125,0.0,cpu,vision,4,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.0050330497324466705,0.9899482484076433,68.2666240420076,0.8076934814453125,0.0,cpu,vision,4,low_lr,0.0005,0.1,0.85,0.003
adamw,0.025927165523171425,0.4333333373069763,0.30567470799724106,0.5528411865234375,,cpu,eeg,0,baseline,,,,
sgd,0.5267099738121033,0.3333333432674408,0.24333587499859277,0.27640533447265625,,cpu,eeg,0,baseline,,,,
rmsprop,0.00929068773984909,0.4333333373069763,0.2782161250070203,0.5528411865234375,,cpu,eeg,0,baseline,,,,
fanosv2,0.0006358474493026733,0.4000000059604645,0.4619233749981504,0.5528106689453125,,cpu,eeg,0,stable,0.001,0.1,0.85,0.003
fanosv2,0.0006399668636731803,0.4000000059604645,0.4710839580075117,0.5528106689453125,,cpu,eeg,0,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.002024475485086441,0.4000000059604645,0.477586249995511,0.5528106689453125,,cpu,eeg,0,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.03206932917237282,0.4000000059604645,0.4834375830105273,0.5528106689453125,,cpu,eeg,0,low_lr,0.0005,0.1,0.85,0.003
adamw,0.007349538151174784,0.4333333373069763,0.31816008299938403,0.5528411865234375,,cpu,eeg,1,baseline,,,,
sgd,0.46830105781555176,0.2666666805744171,0.2567961250024382,0.27640533447265625,,cpu,eeg,1,baseline,,,,
rmsprop,0.001659035449847579,0.36666667461395264,0.2974037920066621,0.5528411865234375,,cpu,eeg,1,baseline,,,,
fanosv2,0.002482388634234667,0.36666667461395264,0.4882133750070352,0.5528106689453125,,cpu,eeg,1,stable,0.001,0.1,0.85,0.003
fanosv2,0.0023806490935385227,0.36666667461395264,0.4762646669987589,0.5528106689453125,,cpu,eeg,1,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.0009487293427810073,0.4000000059604645,0.4827247500070371,0.5528106689453125,,cpu,eeg,1,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.0008243543561547995,0.4000000059604645,0.46753037501184735,0.5528106689453125,,cpu,eeg,1,low_lr,0.0005,0.1,0.85,0.003
adamw,0.0168670192360878,0.4000000059604645,0.3166874580056174,0.5528411865234375,,cpu,eeg,2,baseline,,,,
sgd,0.5140652060508728,0.3333333432674408,0.24287741699663457,0.27640533447265625,,cpu,eeg,2,baseline,,,,
rmsprop,0.008057357743382454,0.4333333373069763,0.28099299999303184,0.5528411865234375,,cpu,eeg,2,baseline,,,,
fanosv2,0.004120529163628817,0.3333333432674408,0.48230954199971166,0.5528106689453125,,cpu,eeg,2,stable,0.001,0.1,0.85,0.003
fanosv2,0.004051403142511845,0.3333333432674408,0.4919034580088919,0.5528106689453125,,cpu,eeg,2,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.0012195236049592495,0.4000000059604645,0.4640763329953188,0.5528106689453125,,cpu,eeg,2,eeg_sweep_best,0.001,0.1,0.9,0.003
fanosv2,0.005376588087528944,0.46666666865348816,0.4824082080012886,0.5528106689453125,,cpu,eeg,2,low_lr,0.0005,0.1,0.85,0.003
adamw,0.017654884606599808,0.4000000059604645,0.31760587499593385,0.5528411865234375,,cpu,eeg,3,baseline,,,,
sgd,0.5296660661697388,0.3333333432674408,0.249799790995894,0.27640533447265625,,cpu,eeg,3,baseline,,,,
rmsprop,0.018934890627861023,0.46666666865348816,0.2857993749930756,0.5528411865234375,,cpu,eeg,3,baseline,,,,
fanosv2,0.0006905561313033104,0.4000000059604645,0.48225558300327975,0.5528106689453125,,cpu,eeg,3,stable,0.001,0.1,0.85,0.003
fanosv2,0.0006936880527064204,0.4000000059604645,0.48171229199215304,0.5528106689453125,,cpu,eeg,3,vision_sweep_best,0.001,0.05,0.85,0.003
