task,optimizer,config,n,top1_mean,top1_std,loss_mean,loss_std,seconds_mean,state_mb_mean
eeg,rmsprop,baseline,5,0.4066666722297668,0.05477225248583576,0.01121823932044208,0.007291609502404886,0.2857515249983408,0.5528411865234375
eeg,fanosv2,eeg_sweep_best,5,0.39333333969116213,0.014907118961465014,0.0008816217698040419,0.0008114225695181002,0.48324239160283466,0.5528106689453125
eeg,fanosv2,low_lr,5,0.38666667342185973,0.05577733177768346,0.009007859090343118,0.012992629924381584,0.4788410582055803,0.5528106689453125
eeg,adamw,baseline,5,0.38666667342185973,0.06912146705779833,0.017917403299361468,0.006928076435679004,0.31455134139978325,0.5528411865234375
eeg,fanosv2,vision_sweep_best,5,0.3800000071525574,0.029814237922930028,0.0015836191625567154,0.0016167940711874966,0.4788609166018432,0.5528106689453125
eeg,fanosv2,stable,5,0.373333340883255,0.02788866588884173,0.001617449230980128,0.001655778806934833,0.48474932500103024,0.5528106689453125
eeg,sgd,baseline,5,0.32666667699813845,0.036514834990557174,0.5046988964080811,0.0270104103657829,0.24831523319589904,0.27640533447265625
vision,fanosv2,low_lr,5,0.9894506369426751,0.0009751153434646634,0.0012864387841545976,0.0021084313818924513,67.96983470820123,0.8076934814453125
vision,fanosv2,vision_sweep_best,5,0.9885947452229299,0.0008491532248288559,0.0038963213897659442,0.00457003859439506,67.76559742500248,0.8076934814453125
vision,fanosv2,eeg_sweep_best,5,0.987718949044586,0.001886465999750254,0.009113417690059578,0.012399459201433602,67.83782436680049,0.8076934814453125
vision,adamw,baseline,5,0.9873407643312102,0.0016130595844766383,0.004915400734171271,0.005655223606148435,62.42913404159772,0.8077239990234375
vision,fanosv2,stable,5,0.9867237261146496,0.0018759358253956301,0.013343340887513478,0.028886988104409424,67.8326269916026,0.8076934814453125
vision,rmsprop,baseline,5,0.981687898089172,0.0048434750636519985,0.011624727677553893,0.023314511296779243,62.87483961660182,0.8077239990234375
vision,sgd,baseline,5,0.9671178343949044,0.002565089363558371,0.045432820543646814,0.01870748542798311,61.32773302480346,0.40384674072265625
