optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,task,seed,config,lr,target_scale,momentum,thermostat_lr
adamw,2.2838993072509766,0.15625,0.06637258299451787,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
sgd,2.300623655319214,0.1171875,0.056018749994109385,0.40384674072265625,0.0,cpu,vision,0,baseline,,,,
rmsprop,2.1662802696228027,0.1640625,0.057336541009135544,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
fanosv2,2.2794697284698486,0.1953125,0.07097725001221988,0.8076934814453125,0.0,cpu,vision,0,stable,0.001,0.1,0.85,0.003
fanosv2,2.284841299057007,0.1796875,0.07248683398938738,0.8076934814453125,0.0,cpu,vision,0,low_lr,0.0005,0.1,0.85,0.003
adamw,0.7117156386375427,0.36666667461395264,0.042828042001929134,0.5528411865234375,,cpu,eeg,0,baseline,,,,
sgd,0.6561038494110107,0.5,0.026970916005666368,0.27640533447265625,,cpu,eeg,0,baseline,,,,
rmsprop,1.4350751638412476,0.30000001192092896,0.03130204099579714,0.5528411865234375,,cpu,eeg,0,baseline,,,,
fanosv2,0.8655508160591125,0.46666666865348816,0.061194499998237006,0.5528106689453125,,cpu,eeg,0,stable,0.001,0.1,0.85,0.003
fanosv2,0.797895610332489,0.36666667461395264,0.061306666990276426,0.5528106689453125,,cpu,eeg,0,low_lr,0.0005,0.1,0.85,0.003
