task,optimizer,config,n,top1_mean,top1_std,loss_mean,loss_std,seconds_mean,state_mb_mean
eeg,sgd,baseline,1,0.5,0.0,0.6561038494110107,0.0,0.026970916005666368,0.27640533447265625
eeg,fanosv2,stable,1,0.46666666865348816,0.0,0.8655508160591125,0.0,0.061194499998237006,0.5528106689453125
eeg,adamw,baseline,1,0.36666667461395264,0.0,0.7117156386375427,0.0,0.042828042001929134,0.5528411865234375
eeg,fanosv2,low_lr,1,0.36666667461395264,0.0,0.797895610332489,0.0,0.061306666990276426,0.5528106689453125
eeg,rmsprop,baseline,1,0.30000001192092896,0.0,1.4350751638412476,0.0,0.03130204099579714,0.5528411865234375
vision,fanosv2,stable,1,0.1953125,0.0,2.2794697284698486,0.0,0.07097725001221988,0.8076934814453125
vision,fanosv2,low_lr,1,0.1796875,0.0,2.284841299057007,0.0,0.07248683398938738,0.8076934814453125
vision,rmsprop,baseline,1,0.1640625,0.0,2.1662802696228027,0.0,0.057336541009135544,0.8077239990234375
vision,adamw,baseline,1,0.15625,0.0,2.2838993072509766,0.0,0.06637258299451787,0.8077239990234375
vision,sgd,baseline,1,0.1171875,0.0,2.300623655319214,0.0,0.056018749994109385,0.40384674072265625
