task,optimizer,seed,final_loss,metric,seconds,state_mb,status
rosenbrock100,fanosv2,0,19848.267578125,13.43795108795166,0.03983962500933558,0.000762939453125,ok
rosenbrock100,adamw,0,27016.916015625,13.872097969055176,0.02713808299449738,0.000766754150390625,ok
rosenbrock100,fanosv2,1,12907.037109375,12.492782592773438,0.03544099999999162,0.000762939453125,ok
rosenbrock100,adamw,1,18281.6796875,12.88890266418457,0.02569733299606014,0.000766754150390625,ok
poisson_pinn_1d,fanosv2,0,0.013413796201348305,0.001410958357155323,0.19668279199686367,0.00879669189453125,ok
poisson_pinn_1d,adamw,0,0.031117770820856094,1.316653833782766e-05,0.14582212499226443,0.008819580078125,ok
poisson_pinn_1d,fanosv2,1,0.015226601622998714,0.00010888178076129407,0.19561304200033192,0.00879669189453125,ok
poisson_pinn_1d,adamw,1,0.0063148075714707375,5.780539140687324e-07,0.1362638330028858,0.008819580078125,ok
sequence_memory,fanosv2,0,0.0018091025995090604,1.0,0.9657792920042994,0.0092926025390625,ok
sequence_memory,adamw,0,0.0017541049746796489,1.0,0.9233940839912975,0.00931549072265625,ok
sequence_memory,fanosv2,1,0.6851682662963867,0.5546875,0.996701583993854,0.0092926025390625,ok
sequence_memory,adamw,1,0.0002629720256663859,1.0,0.9162524579878664,0.00931549072265625,ok
