task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,1,602.4697265625,8.914022445678711,0.03668883300269954,0.000762939453125,1
rosenbrock100,adamw,1,33354.1484375,14.413101196289062,0.019010083997272886,0.000766754150390625,1
rosenbrock100,sgd,1,nan,nan,0.016618292007478885,0.0003814697265625,0
rosenbrock100,rmsprop,1,731.9828491210938,8.939836502075195,0.01802891699480824,0.000766754150390625,1
ill_conditioned_quadratic,fanosv2,1,1.0305131673812866,0.11824209243059158,0.01876562500547152,0.00390625,1
ill_conditioned_quadratic,adamw,1,3116.9599609375,5.580041408538818,0.013078542004222982,0.003910064697265625,1
ill_conditioned_quadratic,sgd,1,3.3059439659118652,12.383516311645508,0.00930283300112933,0.001953125,1
ill_conditioned_quadratic,rmsprop,1,1.2204854101582896e-05,0.0003612985892686993,0.011700208997353911,0.003910064697265625,1
noisy_small_regression,fanosv2,1,0.014496896415948868,0.052642300724983215,0.0686603749927599,0.00879669189453125,1
noisy_small_regression,adamw,1,0.3157694339752197,0.33054232597351074,0.034850666008424014,0.008819580078125,1
noisy_small_regression,sgd,1,0.5080611705780029,0.5029916763305664,0.023899291001725942,0.004398345947265625,1
noisy_small_regression,rmsprop,1,0.015514937229454517,0.048530783504247665,0.03214466600911692,0.008819580078125,1
ode_exp_fit,fanosv2,1,0.00011548630573088303,0.004999041557312012,0.020448750001378357,7.62939453125e-06,1
ode_exp_fit,adamw,1,0.00011548688053153455,0.00513005256652832,0.013118916001985781,1.1444091796875e-05,1
ode_exp_fit,sgd,1,0.004409379791468382,0.3618321418762207,0.01122600000235252,3.814697265625e-06,1
ode_exp_fit,rmsprop,1,0.00011548632028279826,0.004992485046386719,0.01215391700679902,1.1444091796875e-05,1
poisson_pinn_1d,fanosv2,1,0.19498318433761597,0.030183790251612663,0.1335892920033075,0.00879669189453125,1
poisson_pinn_1d,adamw,1,0.057566843926906586,3.560777986422181e-05,0.09577595800510608,0.008819580078125,1
poisson_pinn_1d,sgd,1,0.03172271326184273,1.0812397704285104e-05,0.08506804099306464,0.004398345947265625,1
poisson_pinn_1d,rmsprop,1,0.006675071083009243,1.9731936617972679e-07,0.09199425000406336,0.008819580078125,1
sequence_memory,fanosv2,1,0.6834875345230103,0.5546875,0.7876960839930689,0.0092926025390625,1
sequence_memory,adamw,1,0.0035368900280445814,1.0,0.7495809999963967,0.00931549072265625,1
sequence_memory,sgd,1,0.6888670325279236,0.546875,0.7349613749975106,0.00464630126953125,1
sequence_memory,rmsprop,1,0.6830511093139648,0.5625,0.7454395419918001,0.00931549072265625,1
