optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,task,seed,config,lr,target_scale,momentum,thermostat_lr
adamw,0.00028566407854668796,0.988953025477707,63.54194070798985,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
sgd,0.015189820900559425,0.9699442675159236,61.88975370799017,0.40384674072265625,0.0,cpu,vision,0,baseline,,,,
rmsprop,0.0011420216178521514,0.9857683121019108,65.96483470899693,0.8077239990234375,0.0,cpu,vision,0,baseline,,,,
fanosv2,0.0001837288000388071,0.9887539808917197,71.10509374999674,0.8076934814453125,0.0,cpu,vision,0,low_lr,0.0005,0.1,0.85,0.003
fanosv2,0.009909813292324543,0.9888535031847133,70.82011616700038,0.8076934814453125,0.0,cpu,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,3.1881842005532235e-05,0.9879578025477707,69.85703195800306,0.8076934814453125,0.0,cpu,vision,0,stable,0.001,0.1,0.85,0.003
adamw,0.0004583089903462678,0.9882563694267515,64.86866500000178,0.8077239990234375,0.0,cpu,vision,1,baseline,,,,
sgd,0.05124931037425995,0.964968152866242,64.45314445799158,0.40384674072265625,0.0,cpu,vision,1,baseline,,,,
rmsprop,0.001681894646026194,0.98546974522293,65.01984637499845,0.8077239990234375,0.0,cpu,vision,1,baseline,,,,
fanosv2,0.0004202341951895505,0.9887539808917197,69.88820391699846,0.8076934814453125,0.0,cpu,vision,1,low_lr,0.0005,0.1,0.85,0.003
fanosv2,8.068564056884497e-06,0.9896496815286624,70.27638795800158,0.8076934814453125,0.0,cpu,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,2.12774975807406e-05,0.9883558917197452,69.45396920801431,0.8076934814453125,0.0,cpu,vision,1,stable,0.001,0.1,0.85,0.003
adamw,0.011611245572566986,0.988156847133758,63.736228374997154,0.8077239990234375,0.0,cpu,vision,2,baseline,,,,
sgd,0.045142680406570435,0.9665605095541401,63.87442349999037,0.40384674072265625,0.0,cpu,vision,2,baseline,,,,
rmsprop,0.05332261323928833,0.9739251592356688,65.92112845899828,0.8077239990234375,0.0,cpu,vision,2,baseline,,,,
fanosv2,0.0007125954143702984,0.9909434713375797,71.3099223330064,0.8076934814453125,0.0,cpu,vision,2,low_lr,0.0005,0.1,0.85,0.003
fanosv2,0.00030283431988209486,0.988953025477707,69.1260003339994,0.8076934814453125,0.0,cpu,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003
fanosv2,0.0015950369415804744,0.986265923566879,69.09428629100148,0.8076934814453125,0.0,cpu,vision,2,stable,0.001,0.1,0.85,0.003
adamw,0.0016987870912998915,0.986265923566879,63.63952366700687,0.8077239990234375,0.0,cpu,vision,3,baseline,,,,
sgd,0.06633131206035614,0.9644705414012739,63.45812999999907,0.40384674072265625,0.0,cpu,vision,3,baseline,,,,
rmsprop,0.00151232467032969,0.9804936305732485,65.37576179199095,0.8077239990234375,0.0,cpu,vision,3,baseline,,,,
